doi,title,journal,year,url,status,info
10.1371/journal.pone.0053598,"Diversity, Ecology and Biogeochemistry of Cyst-Forming Acantharia (Radiolaria) in the Oceans",PLoS ONE,2013,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0053598&type=printable,OK,2.01MB
10.1144/0262-821x11-030,Modern incursions of tropical Radiolaria into the Arctic Ocean,Journal of Micropalaeontology,2012,https://jm.copernicus.org/articles/31/139/2012/jm-31-139-2012.pdf,OK,8.67MB
10.4454/ofioliti.v33i1.356,UPPER TRIASSIC TO CRETACEOUS RADIOLARIA FROM NICARAGUA AND NORTHERN COSTA RICA - THE MESQUITO COMPOSITE OCEANIC TERRANE,IRIS,2008,https://iris.unil.ch/bitstreams/615a7f16-0546-4a76-a38f-cac5204a5ebe/download,OK,6.47MB
10.1016/j.protis.2019.02.002,Time Calibrated Morpho-molecular Classification of Nassellaria (Radiolaria),Protist,2019,https://www.sciencedirect.com/science/article/am/pii/S143446101830110X?via%3Dihub,FAILED,403 Client Error: Forbidden for url: https://www.sciencedirect.com/science/article/am/pii/S143446101830110X?via%3Dihub
10.1371/journal.pone.0035775,Phylogenetic Relationships and Evolutionary Patterns of the Order Collodaria (Radiolaria),PLoS ONE,2012,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0035775&type=printable,OK,2.14MB
10.1016/j.protis.2021.125806,A Morpho-molecular Perspective on the Diversity and Evolution of Spumellaria (Radiolaria),Protist,2021,https://www.sciencedirect.com/science/article/am/pii/S1434461021000158?via%3Dihub,FAILED,403 Client Error: Forbidden for url: https://www.sciencedirect.com/science/article/am/pii/S1434461021000158?via%3Dihub
10.1144/jm.26.1.19,"Latest Permian Entactinaria (Radiolaria) from southern Guangxi, China",Journal of Micropalaeontology,2007,https://jm.copernicus.org/articles/26/19/2007/jm-26-19-2007.pdf,OK,1.46MB
10.5194/bg-12-2019-2015,Flux variations and vertical distributions of siliceous Rhizaria (Radiolaria and Phaeodaria) in the western Arctic Ocean: indices of environmental changes,Biogeosciences,2015,https://bg.copernicus.org/articles/12/2019/2015/bg-12-2019-2015.pdf,OK,12.76MB
10.5281/zenodo.5372195,Lower Tithonian mono- and dicyrtid Nassellaria (Radiolaria) from the Solnhofen area (southern Germany),Zenodo (CERN European Organization for Nuclear Research),2003,https://doi.org/10.5281/zenodo.5372195,FAILED,not pdf content-type: text/html; charset=utf-8
10.1093/plankt/fbx003,"Vertical distribution patterns of Radiolaria Polycystina (Protista) in the World Ocean: living ranges, isothermal submersion and settling shells",Journal of Plankton Research,2017,https://academic.oup.com/plankt/article-pdf/39/2/330/17492601/fbx003.pdf,FAILED,403 Client Error: Forbidden for url: https://academic.oup.com/plankt/article-pdf/39/2/330/17492601/fbx003.pdf
10.17615/qd9s-er66,"Late Cretaceous and Paleogene radiolaria from the Nicoya Peninsula, Costa Rica: A tectonostratigraphic application",Carolina Digital Repository (University of North Carolina at Chapel Hill),2022,https://doi.org/10.17615/qd9s-er66,FAILED,not pdf content-type: application/json; charset=utf-8
10.3800/pbr.4.89,First application of PDMPO to examine silicification in polycystine Radiolaria,Plankton and Benthos Research,2009,https://www.jstage.jst.go.jp/article/pbr/4/3/4_3_89/_pdf,OK,7.06MB
10.1016/j.cub.2025.04.032,"Extant diversity, biogeography, and evolutionary history of Radiolaria",Current Biology,2025,https://www.cell.com/action/showPdf?pii=S0960982225004956,FAILED,403 Client Error: Forbidden for url: https://www.cell.com/action/showPdf?pii=S0960982225004956
10.5109/11810,Micro- and ultra-structures of phaeodarian Radiolaria,Memoirs of the Faculty of Science Kyushu University Series D Earth and planetary sciences,2007,http://hdl.handle.net/2324/11810,FAILED,not pdf content-type: text/html; charset=utf-8
10.1016/j.revmic.2005.09.004,Permian and Triassic Radiolaria from Northwest Thailand: paleogeographical implications,Revue de Micropaléontologie,2005,https://resolver.sub.uni-goettingen.de/purl?gro-2/62612,FAILED,403 Client Error: Forbidden for url: https://publications.goettingen-research-online.de/_ray?/handle/2/62612
10.1144/jm.10.1.22,Detecting radiolaria in the field,Journal of Micropalaeontology,1991,https://jm.copernicus.org/articles/10/22/1991/jm-10-22-1991.pdf,OK,0.61MB
10.2973/odp.proc.sr.113.133.1990,Cretaceous Radiolaria from the Weddell Sea: Leg 113 of the Ocean Drilling Program,Unknown,1990,https://doi.org/10.2973/odp.proc.sr.113.133.1990,FAILED,not pdf content-type: application/json
10.1002/lno.11714,Carbon and nitrogen content to biovolume relationships for marine protist of the Rhizaria lineage (Radiolaria and Phaeodaria),Limnology and Oceanography,2021,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/lno.11714,FAILED,403 Client Error: Forbidden for url: https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/lno.11714
10.1144/jm.26.1.87,"The Radiolaria of the Herefordshire Konservat-Lagerstätte (Silurian), England",Journal of Micropalaeontology,2007,https://jm.copernicus.org/articles/26/87/2007/jm-26-87-2007.pdf,OK,0.50MB
10.1007/bf02988433,"Early Tithonian Saturnalidae (Radiolaria) from the Solnhofen area (Southern Franconian Alb, southern Germany)",Paläontologische Zeitschrift,2008,https://serval.unil.ch/notice/serval:BIB_024007ACA61A,FAILED,not pdf content-type: text/html; charset=utf-8
10.1128/mbio.00302-23,Single-Cell Genomics Reveals the Divergent Mitochondrial Genomes of Retaria (Foraminifera and Radiolaria),mBio,2023,https://doi.org/10.1128/mbio.00302-23,FAILED,not pdf content-type: application/json
10.1007/s00015-011-0072-2,Aalenian to Cenomanian Radiolaria of the Bermeja Complex (Puerto Rico) and Pacific origin of radiolarites on the Caribbean Plate,Swiss Journal of Geosciences,2011,https://sjg.springeropen.com/counter/pdf/10.1007/s00015-011-0072-2,OK,5.65MB
10.1144/jmpaleo2013-003,"On the Lower Cambrian biotic and geochemical record of the Hetang Formation (Yangtze Platform, south China): evidence for biogenic silica and possible presence of Radiolaria",Journal of Micropalaeontology,2013,https://jm.copernicus.org/articles/32/207/2013/jm-32-207-2013.pdf,OK,1.62MB
10.3389/fmars.2021.666896,Silicon Isotope Signatures of Radiolaria Reveal Taxon-Specific Differences in Isotope Fractionation,Frontiers in Marine Science,2021,https://www.frontiersin.org/articles/10.3389/fmars.2021.666896/pdf,OK,3.26MB
10.7186/bgsm58201213,"Aptian to Turonian Radiolaria from the Darvel Bay Ophiolite Complex, Kunak, Sabah",Bulletin of the Geological Society of Malaysia,2012,http://www.gsm.org.my/products/702001-100346-PDF.pdf,FAILED,404 Client Error: Not Found for url: http://gsm.org.my/products/702001-100346-PDF.pdf
10.1186/1471-2164-7-135,Acquisition of genome information from single-celled unculturable organisms (radiolaria) by exploiting genome profiling (GP),BMC Genomics,2006,https://bmcgenomics.biomedcentral.com/counter/pdf/10.1186/1471-2164-7-135,OK,0.49MB
10.1111/1462-2920.16081,"Intra‐genomic <scp>rRNA</scp> gene variability of Nassellaria and Spumellaria (Rhizaria, Radiolaria) assessed by Sanger, <scp>MinION</scp> and Illumina sequencing",Environmental Microbiology,2022,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/1462-2920.16081,FAILED,403 Client Error: Forbidden for url: https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/1462-2920.16081
10.2517/prpsj.5.131,"Regular axopodial activity of Diplosphaera hexagonalis Haeckel (spheroidal spumellarian, Radiolaria)",Paleontological Research,2001,https://doi.org/10.2517/prpsj.5.131,FAILED,not pdf content-type: application/json
10.1007/s00015-006-0611-4,Radiolaria – Siliceous plankton through time,Eclogae Geologicae Helvetiae,2006,https://sjg.springeropen.com/counter/pdf/10.1007/s00015-006-0611-4,OK,0.77MB
10.13130/2039-4942/5869,"MIDDLE CARNIAN (LATE TRIASSIC) NASSELLARIA (RADIOLARIA) OF KÖSEYAHYA NAPPE FROM EASTERN TAURIDES, EASTERN TURKEY",Riviste UNIMI (Università degli studi di Milano),2015,https://riviste.unimi.it/index.php/RIPS/article/view/5869,FAILED,not pdf content-type: text/html; charset=utf-8
10.7186/bgsm43199950,"Significance of Early Jurassic Radiolaria from West Sarawak, Malaysia",Bulletin of the Geological Society of Malaysia,1999,http://www.gsm.org.my/products/702001-100790-PDF.pdf,FAILED,404 Client Error: Not Found for url: http://gsm.org.my/products/702001-100790-PDF.pdf
10.1007/s12542-009-0043-3,Eptingiacea and Saturnaliacea (Radiolaria) from the middle Carnian of Turkey and some late Ladinian to early Norian samples from Oman and Alaska,Paläontologische Zeitschrift,2009,https://serval.unil.ch/notice/serval:BIB_262F8ADA29FF,FAILED,not pdf content-type: text/html; charset=utf-8
10.13130/2039-4942/6265,LATE LADINIAN (MIDDLE TRIASSIC) SPUMELLARIA (RADIOLARIA) FROM THE DINARIDES OF BOSNIA AND HERZEGOVINA,Riviste UNIMI (Università degli studi di Milano),2015,https://riviste.unimi.it/index.php/RIPS/article/view/6265,FAILED,not pdf content-type: text/html; charset=utf-8
10.1144/jmpaleo2014-013,Biostratigraphical and palaeobiogeographical implications of Lower Silurian Radiolaria from black cherts of the Armorican Massif (France),Journal of Micropalaeontology,2014,https://jm.copernicus.org/articles/33/165/2014/jm-33-165-2014.pdf,OK,5.13MB
10.1144/jmpaleo2014-012,"Phylogenetic model of &amp;lt;i&amp;gt;Follicucullus&amp;lt;/i&amp;gt; lineages (Albaillellaria, Radiolaria) based on high-resolution biostratigraphy of the Permian Bancheng Formation, Guangxi, South China",Journal of Micropalaeontology,2014,https://jm.copernicus.org/articles/33/179/2014/jm-33-179-2014.pdf,OK,3.11MB
10.1007/s00015-006-0608-z,A new genus of Entactiniidae (Radiolaria) from the Upper Permian of South China,Eclogae Geologicae Helvetiae,2006,https://sjg.springeropen.com/counter/pdf/10.1007/s00015-006-0608-z,OK,2.80MB
10.5281/zenodo.16184562,"Permian Albaillellaria (Radiolaria) from a limestone lens at the Arrow Rocks in the Waipapa Terrane (Northland, New Zealand)",Zenodo (CERN European Organization for Nuclear Research),1999,https://doi.org/10.5281/zenodo.16184562,FAILED,not pdf content-type: text/html; charset=utf-8
10.5281/zenodo.16672932,"Taxonomic study of Ordovician (Llanvirn-Caradoc) Radiolaria from the Southern Uplands (Scotland, U.K.)",Zenodo (CERN European Organization for Nuclear Research),1999,https://doi.org/10.5281/zenodo.16672932,FAILED,not pdf content-type: text/html; charset=utf-8
10.1007/s00015-006-0603-4,Upper Jurassic Radiolaria from the Vocontian basin of SE France,Eclogae Geologicae Helvetiae,2006,https://sjg.springeropen.com/counter/pdf/10.1007/s00015-006-0603-4,OK,1.32MB
10.2517/prpsj.2.96,"Early to Middle Devonian Ceratoikiscidae (Radiolaria) from the Yokokurayama Group in the Kurosegawa Terrane, Southwest Japan",Paleontological Research,1998,https://doi.org/10.2517/prpsj.2.96,FAILED,not pdf content-type: application/json
10.1080/00288306.1999.9514857,"Distribution and biostratigraphy of latest Eocene to latest Oligocene Radiolaria from the Mahurangi Limestone, Northland, New Zealand",New Zealand Journal of Geology and Geophysics,1999,https://www.tandfonline.com/doi/pdf/10.1080/00288306.1999.9514857?download=true,FAILED,403 Client Error: Forbidden for url: https://www.tandfonline.com/doi/pdf/10.1080/00288306.1999.9514857?download=true
10.1093/ismejo/wraf047,Metabolic interdependence and rewiring in radiolaria-microalgae photosymbioses,The ISME Journal,2025,https://academic.oup.com/ismej/advance-article-pdf/doi/10.1093/ismejo/wraf047/62352185/wraf047.pdf,FAILED,403 Client Error: Forbidden for url: https://academic.oup.com/ismej/advance-article-pdf/doi/10.1093/ismejo/wraf047/62352185/wraf047.pdf
10.1080/03115510208619255,"High latitude, late Campanian (Cretaceous) Radiolaria from offshore south-eastern Tasmania",Alcheringa An Australasian Journal of Palaeontology,2002,https://figshare.com/articles/journal_contribution/High_Latitude_Late_Campanian_Cretaceous_Radiolaria_from_offshore_south-eastern_Tasmania/22843862,FAILED,403 Client Error: Forbidden for url: https://figshare.com/articles/journal_contribution/High_Latitude_Late_Campanian_Cretaceous_Radiolaria_from_offshore_south-eastern_Tasmania/22843862
10.1111/iar.12286,"Integrated Radiolaria, benthic foraminifera and conodont biochronology of the pelagic Permian blocks/tectonic slices and geochemistry of associated volcanic rocks from the Mersin Mélange, southern Turkey: Implications for the Permian evolution of the northern Neotethys",Island Arc,2018,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/iar.12286,FAILED,403 Client Error: Forbidden for url: https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/iar.12286
10.5575/geosoc.109.635,"Early Devonian Palaeoscenidiidae (Radiolaria) from the ""Yoshiki Formation"" in the Fukuji area of the Hida-gaien Terrane, central Japan, and its biostratigraphic significance",The Journal of the Geological Society of Japan,2003,https://www.jstage.jst.go.jp/article/geosoc1893/109/11/109_11_635/_pdf,OK,2.87MB
10.4454/ofioliti.v24i1a.9,"MIDDLE JURASSIC TO EARLY CRETACEOUS RADIOLARIA FROM THE OMGON RANGE, WESTERN KAMCHATKA",Ofioliti,1999,https://www.ofioliti.it/index.php/ofioliti/article/view/9,FAILED,not pdf content-type: text/html; charset=utf-8
10.1029/2011jc007728,<i>Rhizoplegma boreale</i> (Radiolaria): A tracer for mesoscale eddies from coastal areas,Journal of Geophysical Research Atmospheres,2012,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1029/2011JC007728,FAILED,403 Client Error: Forbidden for url: https://onlinelibrary.wiley.com/doi/pdfdirect/10.1029/2011JC007728
10.1111/j.1440-1738.1996.tb00017.x,"Preliminary report on Lower Jurassic radiolaria of Gondwana origin from the Kawhia coast, New Zealand",Island Arc,1996,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/j.1440-1738.1996.tb00017.x,FAILED,403 Client Error: Forbidden for url: https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/j.1440-1738.1996.tb00017.x
10.1016/j.revmic.2016.11.004,"Mono- and dicyrtid Nassellaria (Radiolaria) from the Upper Carnian of the Sorgun Ophiolitic Mélange, Southern Turkey and Kopría Mélange, Rhodes, Greece",Revue de Micropaléontologie,2017,https://www.sciencedirect.com/science/article/pii/S0035159816300824,FAILED,403 Client Error: Forbidden for url: https://www.sciencedirect.com/science/article/pii/S0035159816300824
10.7186/bgsm41199710,"Significance of Early Carboniferous Radiolaria from Langkap, Negeri Sembilan, Malaysia",Bulletin of the Geological Society of Malaysia,1997,http://www.gsm.org.my/products/702001-100866-PDF.pdf,FAILED,404 Client Error: Not Found for url: http://gsm.org.my/products/702001-100866-PDF.pdf
10.2517/prpsj.2.75,"The fine structures of some living Spyrida (Nassellaria, Radiolaria) and their implications for nassellarian classification",Paleontological Research,1998,https://doi.org/10.2517/prpsj.2.75,FAILED,not pdf content-type: application/json
10.5281/zenodo.15957446,"Cuboctostylus n. gen., a new Late Cretaceous spicule-bearing spumellarian Radiolaria from southern Sakhalin (Russia)",Zenodo (CERN European Organization for Nuclear Research),1999,https://doi.org/10.5281/zenodo.15957446,FAILED,not pdf content-type: text/html; charset=utf-8
10.5575/geosoc.103.113,"Cretaceous Radiolaria from the Lower Yezo Group, central Hokkaido, Japan",The Journal of the Geological Society of Japan,1997,https://www.jstage.jst.go.jp/article/geosoc1893/103/2/103_2_113/_pdf,OK,2.88MB
10.1111/1462-2920.70098,Is the Gelatinous Matrix of Nassellaria (Radiolaria) a Strategy for Coping With Oligotrophy?,Environmental Microbiology,2025,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/1462-2920.70098,FAILED,403 Client Error: Forbidden for url: https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/1462-2920.70098
10.5194/jm-41-165-2022,Artificial intelligence applied to the classification of eight middle Eocene species of the genus <i>Podocyrtis</i> (polycystine radiolaria),Journal of Micropalaeontology,2022,https://jm.copernicus.org/articles/41/165/2022/jm-41-165-2022.pdf,OK,5.46MB
10.5169/seals-167268,"Late Aptian-Early Albian radiolaria of the Windalia radiolarite (type section), Carnarvon Basin, Western Australia",E-Periodica,1993,https://doi.org/10.5169/seals-167268,FAILED,not pdf content-type: text/html;charset=utf-8
10.2517/prpsj.1.144,"The enclosing latticed sphere of Tuscaridium cygneum (Murray), a eurybathyal phaeodarian Radiolaria, from the North Pacific",Paleontological Research,1997,https://doi.org/10.2517/prpsj.1.144,FAILED,not pdf content-type: application/json
10.1111/jeu.70062,The Romantic Discovery of Radiolaria in the Ocean,Journal of Eukaryotic Microbiology,2026,https://www.ncbi.nlm.nih.gov/pmc/articles/12813588,FAILED,403 Client Error: Forbidden for url: https://pmc.ncbi.nlm.nih.gov/articles/12813588
10.5575/geosoc.102.824,"Late Silurian and Early Devonian Polycystine(Radiolaria) from the Middle Paleozoic deposits in the Kamaishi area, northeast Japan.",The Journal of the Geological Society of Japan,1996,https://www.jstage.jst.go.jp/article/geosoc1893/102/9/102_9_824/_pdf,OK,0.90MB
10.17576/jsm-2017-4612-11,"Penemuan Zon Himpunan Pseudoalbaillella globosa (radiolaria) di Pos Blau, Baratdaya Kelantan, Semenanjung Malaysia dan Implikasinya terhadap Biostratigrafi Radiolaria",Sains Malaysiana,2017,https://doi.org/10.17576/jsm-2017-4612-11,FAILED,not pdf content-type: application/json
10.1134/s0031030119080045,Worldwide Distribution Patterns of the Planktonic Shelled Protists Radiolaria (Polycystina) and Foraminifera: Similarities and Contrasts,Paleontological Journal,2019,http://hdl.handle.net/11336/150921,FAILED,"HTTPConnectionPool(host='127.0.0.1', port=7890): Max retries exceeded with url: http://hdl.handle.net/11336/150921 (Caused by ResponseError('too many 500 error responses'))"
10.1111/iar.12271,Morphological characteristics of a dimorphic pair of <i>Albaillella sinuata</i> Ishiga and Watase: Dimorphism in the lineage of the Permian Albaillellaria (Radiolaria),Island Arc,2018,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/iar.12271,FAILED,403 Client Error: Forbidden for url: https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/iar.12271
10.3354/meps12229,Seasonality in the vertical flux and species composition of Radiolaria Polycystina (Protista): patterns and drivers,Marine Ecology Progress Series,2017,https://www.int-res.com/articles/meps2017/578/m578p051.pdf,FAILED,401 Client Error: Unauthorized for url: https://www.int-res.com/articles/meps2017/578/m578p051.pdf
10.33265/polar.v42.9584,Radiolaria and Phaeodaria (siliceous Rhizaria) in south-western and northern Norwegian fjords during late summer 2016: dominant species and biomass in shallow-water assemblages,Polar Research,2023,https://polarresearch.net/index.php/polar/article/download/9584/16228,OK,6.79MB
10.1016/j.palwor.2018.08.002,"Foraminifera, Radiolaria and Conodont assemblages from the Early Mississipian (late Tournaisian)/Early Pennsylvanian (early Bashkirian) blocks within the Mersin Mélange, southern Turkey: Biochronological and paleogeographical implications",Palaeoworld,2018,https://hdl.handle.net/11511/37140,FAILED,"HTTPSConnectionPool(host='hdl.handle.net', port=443): Max retries exceeded with url: /11511/37140 (Caused by ResponseError('too many 500 error responses'))"
10.1038/s41598-022-06974-2,"Micro- and nanometric characterization of the celestite skeleton of acantharian species (Radiolaria, Rhizaria)",Scientific Reports,2022,https://www.nature.com/articles/s41598-022-06974-2.pdf,OK,2.18MB
10.3389/fmars.2023.1150518,An effective method to extract and purify radiolaria from tropical marine sediments,Frontiers in Marine Science,2023,https://www.frontiersin.org/articles/10.3389/fmars.2023.1150518/pdf,FAILED,"('Connection broken: IncompleteRead(17398928 bytes read, 19448361 more expected)', IncompleteRead(17398928 bytes read, 19448361 more expected))"
10.24821/corak.v6i2.2396,DEFORMASI BENTUK DAN TEKSTUR RADIOLARIA DALAM KERAMIK INSTALASI,CORAK,2017,http://journal.isi.ac.id/index.php/corak/article/download/2396/880,FAILED,"HTTPSConnectionPool(host='journal.isi.ac.id', port=443): Max retries exceeded with url: /index.php/corak/article/download/2396/880 (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1017)')))"
10.1134/s0031030109010122,"New replacement names for the genera Adamas Afanasieva, 2000 and Wonella Afanasieva, 2000 (Radiolaria)",Paleontological Journal,2009,https://link.springer.com/content/pdf/10.1134/S0031030109010122.pdf,OK,0.07MB
10.1017/jpa.2022.82,"Progress in understanding middle Eocene nassellarian (Radiolaria, Polycystinea) diversity; new insights from the western equatorial Atlantic Ocean",Journal of Paleontology,2022,https://doi.org/10.1017/jpa.2022.82,FAILED,not pdf content-type: application/json
10.17576/jsm-2022-5107-03,"Radiolaria Perm Awal daripada Ladang Harmoni, Pos Blau, Baratdaya Kelantan",Sains Malaysiana,2022,https://doi.org/10.17576/jsm-2022-5107-03,FAILED,not pdf content-type: application/json
10.2517/prpsj.2.155,"Taxonomy and phylogeny of the genus Theocorys (Nassellaria, Radiolaria) from the Eocene and Oligocene sequences in the Antarctic region",Paleontological Research,1998,https://doi.org/10.2517/prpsj.2.155,FAILED,not pdf content-type: application/json
10.1093/plankt/fbv065,Molecular evidence for wide vertical distribution of the marine planktonic protist<i>Larcopyle buetschlii</i>(Radiolaria) in a semi-enclosed marginal sea,Journal of Plankton Research,2015,https://academic.oup.com/plankt/article-pdf/37/5/851/14110780/fbv065.pdf,FAILED,403 Client Error: Forbidden for url: https://academic.oup.com/plankt/article-pdf/37/5/851/14110780/fbv065.pdf
10.5194/bgd-11-16645-2014,Flux variations and vertical distributions of microzooplankton (Radiolaria) in the western Arctic Ocean: environmental indices in a warming Arctic,Unknown,2014,https://doi.org/10.5194/bgd-11-16645-2014,FAILED,not pdf content-type: application/json
10.26879/98002,Evidence of Binary Division in Mature Central Capsules of a Collosphaerid Colonial Radiolarians: Implications for Shell Ontogenetic Patterns in Modern and Fossil Species,Palaeontologia Electronica,1998,https://palaeo-electronica.org/1998_1/anderson/text.pdf,OK,0.41MB
10.5109/19196,"Distribution of polycystine Radiolaria, Phaeodaria and Acantharia in the Kuroshio Current off Shikoku Island and Tosa Bay during Cruise KT07-19 in August 2007",Memoirs of the Faculty of Science Kyushu University Series D Earth and planetary sciences,2011,https://catalog.lib.kyushu-u.ac.jp/opac_download_md/19196/p039.pdf,FAILED,"[Errno 2] No such file or directory: '放射虫论文_OA_download\\Onodera_2011 - Memoirs of the Faculty of Science Kyushu University Series D Earth and planetary sciences - Distribution of polycystine Radiolaria, Phaeodaria and Acantharia in the Kuroshio Current off Shikoku.pdf'"
10.1038/s41467-020-18879-7,Marine plankton show threshold extinction response to Neogene climate change,Nature Communications,2020,https://www.nature.com/articles/s41467-020-18879-7.pdf,OK,3.99MB
10.55653/forma.2024.001.004,Evaluation of the Effect of Outreach Activities on Publicizing Radiolarians in Japan Based on the Analysis of Google Trends of “Radiolaria” in 2012–2022,Forma,2024,https://www.jstage.jst.go.jp/article/forma/39/1/39_S15/_pdf,OK,7.77MB
10.1016/j.protis.2025.126102,Transcriptomic analyses reveal sexual cues in reproductive life stages of uncultivated Acantharia (Radiolaria),Protist,2025,https://archimer.ifremer.fr/doc/00951/106320/,FAILED,406 Client Error:  for url: https://archimer.ifremer.fr/doc/00951/106320/
10.1016/j.revmic.2023.100717,"Late Sinemurian and Early Pliensbachian Radiolaria from Mount Rettenstein (Northern Calcareous Alps, Austria). Part 1. Nassellaria",Revue de Micropaléontologie,2023,https://doi.org/10.1016/j.revmic.2023.100717,FAILED,not pdf content-type: application/json
10.1144/jm.21.1.28,"&amp;lt;i&amp;gt;Paulanoblella&amp;lt;/i&amp;gt;, nomen novum (Radiolaria) replaces &amp;lt;i&amp;gt;Noblella&amp;lt;/i&amp;gt; Kozur, Mostler &amp;amp; Repetski, 1996, a homonym of &amp;lt;i&amp;gt;Noblella&amp;lt;/i&amp;gt; Barbour, 1930 (Amphibia)",Journal of Micropalaeontology,2002,https://jm.copernicus.org/articles/21/28/2002/jm-21-28-2002.pdf,OK,0.03MB
10.5047/forma.2016.002,"Possible Boundaries between &lt;I&gt;Pseudoalbaillella&lt;/I&gt; and &lt;I&gt;Follicucullus&lt;/I&gt; (Follicucullidae, Albaillellaria, Radiolaria): An Example of Morphological Information from Fossils and Its Use in Taxonomy",Forma,2016,http://doi.org/10.5047/forma.2016.002,FAILED,not pdf content-type: application/json
10.5252/g2017n3a4,Taxonomy of Paleozoic radiolarian genera,Geodiversitas,2017,https://hal.science/hal-02487251v1/file/Noble%20et%20al%202017%20taxonomy-of-paleozoic-radiolarian-genera.pdf,FAILED,not pdf content-type: text/html; charset=utf-8
10.17576/jsm-2018-4710-03,"Fosil Radiolaria daripada Batuan Bersilika-Rijang di Pos Blau (Singkapan PB-1), Baratdaya Kelantan, Semenanjung Malaysia",Sains Malaysiana,2018,https://doi.org/10.17576/jsm-2018-4710-03,FAILED,not pdf content-type: application/json
10.7203/sjp.22.1.20389,"Sella, A NEW NAME FOR THE GENUS Linaresia EL KADIRI, 1992 (NASSELLARIA, RADIOLARIA) PREOCCUPIED BY COPEPOD CRUSTACEANS (LAMIPPIDAE, MAXILLOPODA)",Spanish Journal of Palaeontology,2021,https://ojs.uv.es/index.php/sjpalaeontology/article/download/20389/18174,FAILED,not pdf content-type: text/html; charset=utf-8
